source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,21.0,21,BUENA VISTA,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, BUENA VISTA",2022,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"31,323,000",2.3
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,21.0,21,BUENA VISTA,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, BUENA VISTA",2021,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"32,053,000",1.9
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,35.0,35,CHEROKEE,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, CHEROKEE",2022,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"26,997,000",2.6
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,41.0,41,CLAY,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, CLAY",2022,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"26,446,000",2.0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,41.0,41,CLAY,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, CLAY",2021,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"28,035,000",2.1
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,59.0,59,DICKINSON,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, DICKINSON",2022,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"18,753,000",3.4
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,59.0,59,DICKINSON,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, DICKINSON",2021,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"15,975,000",2.6
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,63.0,63,EMMET,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, EMMET",2022,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"23,336,000",1.4
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,63.0,63,EMMET,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, EMMET",2021,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"19,692,000",1.7
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,PRODUCTION,BU,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,COUNTY,19,19,IA,IOWA,10,NORTHWEST,119.0,119,LYON,,,0,,,9000,UNITED STATES,"IOWA, NORTHWEST, LYON",2022,ANNUAL,0,0,YEAR,,2023-02-24 15:00:00.000,"28,849,000",2.5
